"accel_x","accel_y","accel_z","mag_x","mag_y","mag_z","gyro_x","gyro_y","gyro_z","t","h","time"
"-0.01","-0.29","10.32","-0.01","-0.29","10.32","0.9688","0.0703","0.7812","18.5","52.9","2019-10-02T21:41:01"
"-0.02","-0.29","10.31","-0.02","-0.29","10.31","0.8203","0.2266","0.4609","18.5","52.6","2019-10-02T21:41:11"
"-0.01","-0.28","10.32","-0.01","-0.28","10.32","0.5234","0.0859","0.5625","18.5","52.7","2019-10-02T21:41:21"
"0.0","-0.29","10.32","0.0","-0.29","10.32","0.4688","0.2109","0.5078","18.5","52.8","2019-10-02T21:41:32"
"-0.0","-0.28","10.33","-0.0","-0.28","10.33","0.2812","0.2266","0.6953","18.5","52.8","2019-10-02T21:41:42"
"-0.02","-0.3","10.31","-0.02","-0.3","10.31","1.1562","-0.125","0.75","18.5","52.7","2019-10-02T21:41:52"
"-0.02","-0.3","10.31","-0.02","-0.3","10.31","0.4531","0.1406","0.7578","18.5","52.7","2019-10-02T21:42:02"
"-0.03","-0.29","10.35","-0.03","-0.29","10.35","1.3203","0.2344","0.6172","18.5","52.7","2019-10-02T21:42:12"
"-0.03","-0.28","10.31","-0.03","-0.28","10.31","0.7812","0.2344","0.4688","18.5","52.9","2019-10-02T21:42:22"
"-0.01","-0.28","10.31","-0.01","-0.28","10.31","0.6562","0.2266","0.4375","18.5","52.8","2019-10-02T21:42:32"
"0.0","-0.3","10.31","0.0","-0.3","10.31","1.0391","0.1406","0.5156","18.5","52.7","2019-10-02T21:42:42"
"-0.01","-0.28","10.31","-0.01","-0.28","10.31","1.1562","-0.1016","0.5938","18.5","52.8","2019-10-02T21:42:52"
"-0.02","-0.29","10.3","-0.02","-0.29","10.3","0.7109","0.4922","0.4219","18.5","52.5","2019-10-02T21:43:03"
"-0.01","-0.29","10.3","-0.01","-0.29","10.3","0.7109","-0.0078","0.5859","18.5","52.7","2019-10-02T21:43:13"
"-0.01","-0.29","10.32","-0.01","-0.29","10.32","1.0703","0.2266","0.5625","18.5","52.9","2019-10-02T21:43:23"
"-0.01","-0.28","10.32","-0.01","-0.28","10.32","1.3672","0.0234","0.6875","18.5","52.8","2019-10-02T21:43:33"
"0.0","-0.29","10.3","0.0","-0.29","10.3","1.0","0.2266","0.6016","18.5","52.9","2019-10-02T21:43:43"
"-0.01","-0.28","10.29","-0.01","-0.28","10.29","0.9297","0.1406","0.5156","18.5","52.8","2019-10-02T21:43:53"
"-0.02","-0.24","10.29","-0.02","-0.24","10.29","0.875","0.2578","0.8281","18.5","52.8","2019-10-02T21:44:03"
"-0.01","-0.28","10.33","-0.01","-0.28","10.33","0.9141","0.0703","0.6641","18.5","52.7","2019-10-02T21:44:13"
"-0.01","-0.29","10.3","-0.01","-0.29","10.3","0.4688","0.25","0.5625","18.5","52.7","2019-10-02T21:44:24"
"-0.01","-0.28","10.31","-0.01","-0.28","10.31","0.6875","0.3281","0.4922","18.4","52.7","2019-10-02T21:44:34"
"-0.02","-0.29","10.31","-0.02","-0.29","10.31","0.6484","-0.0938","0.7266","18.4","52.9","2019-10-02T21:44:44"
"-0.01","-0.25","10.22","-0.01","-0.25","10.22","0.8125","0.0859","0.5781","18.5","52.8","2019-10-02T21:44:54"
"0.0","-0.28","10.29","0.0","-0.28","10.29","1.0312","-0.0781","0.3125","18.5","52.7","2019-10-02T21:45:04"
"-0.01","-0.29","10.31","-0.01","-0.29","10.31","0.7344","-0.1641","0.7812","18.4","52.6","2019-10-02T21:45:14"
"-0.0","-0.3","10.3","-0.0","-0.3","10.3","1.0156","0.0625","0.4375","18.4","52.8","2019-10-02T21:45:24"
"0.01","-0.29","10.31","0.01","-0.29","10.31","0.9609","0.3047","0.5547","18.5","52.8","2019-10-02T21:45:34"
"-0.0","-0.28","10.32","-0.0","-0.28","10.32","0.4531","0.0938","0.5547","18.5","52.8","2019-10-02T21:45:44"
"0.0","-0.28","10.32","0.0","-0.28","10.32","1.1328","0.0469","0.7422","18.5","52.7","2019-10-02T21:45:55"
"-0.02","-0.28","10.31","-0.02","-0.28","10.31","0.8281","-0.0234","0.8281","18.5","52.7","2019-10-02T21:46:05"
"-0.01","-0.29","10.33","-0.01","-0.29","10.33","0.9766","-0.0469","0.4609","18.4","52.8","2019-10-02T21:46:15"
"-0.02","-0.28","10.32","-0.02","-0.28","10.32","1.2266","0.1641","0.4609","18.5","52.8","2019-10-02T21:46:25"
"-0.01","-0.29","10.33","-0.01","-0.29","10.33","1.0703","0.1562","0.5859","18.5","52.8","2019-10-02T21:46:35"
"-0.01","-0.28","10.32","-0.01","-0.28","10.32","0.8672","0.2266","0.5312","18.4","52.8","2019-10-02T21:46:45"
"-0.03","-0.29","10.32","-0.03","-0.29","10.32","0.7422","0.2109","0.6484","18.4","52.7","2019-10-02T21:46:55"
"-0.01","-0.29","10.33","-0.01","-0.29","10.33","0.6953","-0.1484","0.5547","18.4","52.8","2019-10-02T21:47:05"
"-0.03","-0.29","10.32","-0.03","-0.29","10.32","1.0234","-0.0078","0.4922","18.4","52.8","2019-10-02T21:47:15"
"-0.03","-0.29","10.31","-0.03","-0.29","10.31","1.3359","0.4688","0.5625","18.5","52.8","2019-10-02T21:47:26"
"-0.02","-0.3","10.32","-0.02","-0.3","10.32","0.9297","0.2266","0.7656","18.4","52.7","2019-10-02T21:47:36"
"-0.0","-0.3","10.31","-0.0","-0.3","10.31","1.2734","-0.3125","0.5234","18.4","52.7","2019-10-02T21:47:46"
"-0.03","-0.29","10.28","-0.03","-0.29","10.28","0.6094","-0.1641","0.5547","18.4","52.8","2019-10-02T21:47:56"
"-0.01","-0.29","10.31","-0.01","-0.29","10.31","0.7266","0.0391","0.5547","18.4","52.9","2019-10-02T21:48:06"
"0.0","-0.29","10.3","0.0","-0.29","10.3","0.9141","0.2031","0.5781","18.4","52.8","2019-10-02T21:48:16"
"-0.03","-0.29","10.3","-0.03","-0.29","10.3","0.6484","-0.1875","0.5312","18.5","52.7","2019-10-02T21:48:26"
"-0.01","-0.28","10.33","-0.01","-0.28","10.33","0.4453","0.3047","0.6953","18.5","52.7","2019-10-02T21:48:36"
"0.0","-0.29","10.3","0.0","-0.29","10.3","0.7969","0.2969","0.6484","18.4","52.6","2019-10-02T21:48:46"
"-0.01","-0.29","10.32","-0.01","-0.29","10.32","1.0547","0.0625","0.4453","18.4","52.6","2019-10-02T21:48:57"
"-0.0","-0.29","10.32","-0.0","-0.29","10.32","1.1953","-0.125","0.8516","18.4","52.7","2019-10-02T21:49:07"
"-0.01","-0.29","10.32","-0.01","-0.29","10.32","0.6562","0.0703","0.6016","18.5","52.8","2019-10-02T21:49:17"
"0.01","-0.28","10.31","0.01","-0.28","10.31","1.1641","-0.0703","0.5078","18.4","52.7","2019-10-02T21:49:27"
"0.01","-0.29","10.33","0.01","-0.29","10.33","1.0938","0.1797","0.4609","18.4","52.7","2019-10-02T21:49:37"
"-0.02","-0.29","10.33","-0.02","-0.29","10.33","0.8047","-0.0938","0.5547","18.5","52.7","2019-10-02T21:49:47"
"-0.01","-0.29","10.3","-0.01","-0.29","10.3","0.7656","0.25","0.6641","18.4","52.7","2019-10-02T21:49:57"
"-0.0","-0.28","10.31","-0.0","-0.28","10.31","0.7344","-0.0312","0.5078","18.5","52.7","2019-10-02T21:50:07"
"-0.0","-0.28","10.32","-0.0","-0.28","10.32","1.2109","-0.0781","0.6797","18.4","52.7","2019-10-02T21:50:18"
